src_person,dst_university,relation,year
Andrew Giuliani,Duke University,ALUMNI_OF,
Beau Biden,Đại học Pennsylvania,ALUMNI_OF,
Brett Kavanaugh,Đại học Yale,ALUMNI_OF,
Dick Cheney,Đại học Yale,ALUMNI_OF,
Dick Cheney,Đại học Wyoming,ALUMNI_OF,
Dmitry Anatolyevich Medvedev,Đại học Tổng hợp Sankt-Peterburg,ALUMNI_OF,
Bill Clinton,Đại học Georgetown,ALUMNI_OF,
Bill Clinton,Trường Dịch vụ Đối ngoại,ALUMNI_OF,
Bill Clinton,Đại học Oxford,ALUMNI_OF,
Bill Clinton,Đại học Yale,ALUMNI_OF,
Angela Merkel,Đại học Leipzig,ALUMNI_OF,
Barack Obama,Đại học Columbia,ALUMNI_OF,
Doug Emhoff,Đại học Nam California,ALUMNI_OF,
Guido Westerwelle,Đại học Bonn,ALUMNI_OF,
Horst Köhler,Đại học Tübingen,ALUMNI_OF,
Donald Trump,Đại học Pennsylvania,ALUMNI_OF,
Helmut Kohl,Đại học Heidelberg,ALUMNI_OF,
George H. W. Bush,Đại học Yale,ALUMNI_OF,
George W. Bush,Đại học Yale,ALUMNI_OF,
George W. Bush,Đại học Harvard,ALUMNI_OF,
JD Vance,Đại học Bang Ohio,ALUMNI_OF,
JD Vance,Đại học Yale,ALUMNI_OF,
Hunter Biden,Đại học Georgetown,ALUMNI_OF,
Hunter Biden,Đại học Yale,ALUMNI_OF,
Ivanka Trump,Đại học Pennsylvania,ALUMNI_OF,
Hillary Clinton,Đại học Yale,ALUMNI_OF,
Jerry Brown,"University of California, Berkeley",ALUMNI_OF,
Michael Bloomberg,Đại học Johns Hopkins,ALUMNI_OF,
Michael Bloomberg,Đại học,ALUMNI_OF,
Michael Bloomberg,Đại học Harvard,ALUMNI_OF,
John Quincy Adams,Đại học Harvard,ALUMNI_OF,
Maria Ressa,Đại học Princeton,ALUMNI_OF,
Jill Biden,Đại học Delaware,ALUMNI_OF,
Jill Biden,Đại học Villanova,ALUMNI_OF,
Laura Bush,Đại học Texas tại Austin,ALUMNI_OF,
Kamala Harris,Đại học Howard,ALUMNI_OF,
Kamala Harris,Trường Luật Hastings,ALUMNI_OF,
Mitt Romney,Đại học Harvard,ALUMNI_OF,
Michelle Obama,Đại học Princeton,ALUMNI_OF,
Michelle Obama,Đại học Harvard,ALUMNI_OF,
John McCain,Học viện Hải quân Hoa Kỳ,ALUMNI_OF,
Paul Ryan,Đại học Miami,ALUMNI_OF,
Olaf Scholz,Đại học Hamburg,ALUMNI_OF,
Rudy Giuliani,New York University,ALUMNI_OF,
Sigmar Gabriel,Đại học Göttingen,ALUMNI_OF,
Wolfgang Schäuble,Đại học Freiburg,ALUMNI_OF,
Wolfgang Schäuble,Đại học Hamburg,ALUMNI_OF,
Theodore Roosevelt,Đại học Harvard,ALUMNI_OF,
Vladimir Vladimirovich Putin,Đại học Tổng hợp Sankt-Peterburg,ALUMNI_OF,
Joe Biden,Đại học Delaware,ALUMNI_OF,
