src_person,dst_person,relation
Andrew Giuliani,Donald Trump,MENTIONS_PERSON
Andrew Giuliani,Rudy Giuliani,MENTIONS_PERSON
Christian Wulff,Angela Merkel,MENTIONS_PERSON
Christian Wulff,Horst Köhler,MENTIONS_PERSON
Christian Wulff,Joachim Gauck,MENTIONS_PERSON
Christian Wulff,Sigmar Gabriel,MENTIONS_PERSON
Beau Biden,Joe Biden,MENTIONS_PERSON
Brett Kavanaugh,Donald Trump,MENTIONS_PERSON
Brett Kavanaugh,George W. Bush,MENTIONS_PERSON
Brett Kavanaugh,Bill Clinton,MENTIONS_PERSON
Boris Nikolayevich Yeltsin,Sergei Stepashin,MENTIONS_PERSON
Boris Nikolayevich Yeltsin,Vladimir Vladimirovich Putin,MENTIONS_PERSON
Boris Nikolayevich Yeltsin,George H. W. Bush,MENTIONS_PERSON
Boris Nikolayevich Yeltsin,Bill Clinton,MENTIONS_PERSON
Boris Nikolayevich Yeltsin,Joachim Gauck,MENTIONS_PERSON
Dick Cheney,George W. Bush,MENTIONS_PERSON
Dick Cheney,Joe Biden,MENTIONS_PERSON
Dick Cheney,George H. W. Bush,MENTIONS_PERSON
Dick Cheney,John McCain,MENTIONS_PERSON
Dick Cheney,Sarah Palin,MENTIONS_PERSON
Dick Cheney,Theodore Roosevelt,MENTIONS_PERSON
Dick Cheney,Mike Pence,MENTIONS_PERSON
Dick Cheney,Kamala Harris,MENTIONS_PERSON
Dick Cheney,JD Vance,MENTIONS_PERSON
Dmitry Anatolyevich Medvedev,Vladimir Vladimirovich Putin,MENTIONS_PERSON
Bill Clinton,George H. W. Bush,MENTIONS_PERSON
Bill Clinton,George W. Bush,MENTIONS_PERSON
Bill Clinton,Hillary Clinton,MENTIONS_PERSON
Bill Clinton,John McCain,MENTIONS_PERSON
Bill Clinton,Ronald Reagan,MENTIONS_PERSON
Bill Clinton,Boris Yeltsin,MENTIONS_PERSON
Bill Clinton,John Quincy Adams,MENTIONS_PERSON
Bill Clinton,Theodore Roosevelt,MENTIONS_PERSON
Bill Clinton,Barack Obama,MENTIONS_PERSON
Bill Clinton,Donald Trump,MENTIONS_PERSON
Bill Clinton,Joe Biden,MENTIONS_PERSON
Angela Merkel,Horst Köhler,MENTIONS_PERSON
Angela Merkel,Christian Wulff,MENTIONS_PERSON
Angela Merkel,Joachim Gauck,MENTIONS_PERSON
Angela Merkel,Frank-Walter Steinmeier,MENTIONS_PERSON
Angela Merkel,Guido Westerwelle,MENTIONS_PERSON
Angela Merkel,Philipp Rösler,MENTIONS_PERSON
Angela Merkel,Sigmar Gabriel,MENTIONS_PERSON
Angela Merkel,Olaf Scholz,MENTIONS_PERSON
Angela Merkel,Wolfgang Schäuble,MENTIONS_PERSON
Angela Merkel,Helmut Kohl,MENTIONS_PERSON
Angela Merkel,Ronald Reagan,MENTIONS_PERSON
Angela Merkel,George H. W. Bush,MENTIONS_PERSON
Angela Merkel,Bill Clinton,MENTIONS_PERSON
Angela Merkel,George W. Bush,MENTIONS_PERSON
Angela Merkel,Rudy Giuliani,MENTIONS_PERSON
Angela Merkel,Vladimir Vladimirovich Putin,MENTIONS_PERSON
Angela Merkel,Barack Obama,MENTIONS_PERSON
Angela Merkel,Mark Zuckerberg,MENTIONS_PERSON
Angela Merkel,Donald Trump,MENTIONS_PERSON
Angela Merkel,Maria Ressa,MENTIONS_PERSON
Angela Merkel,Joe Biden,MENTIONS_PERSON
Angela Merkel,Kamala Harris,MENTIONS_PERSON
Barack Obama,Joe Biden,MENTIONS_PERSON
Barack Obama,George W. Bush,MENTIONS_PERSON
Barack Obama,Donald Trump,MENTIONS_PERSON
Barack Obama,Michelle Obama,MENTIONS_PERSON
Barack Obama,Hillary Clinton,MENTIONS_PERSON
Barack Obama,John McCain,MENTIONS_PERSON
Barack Obama,Mitt Romney,MENTIONS_PERSON
Barack Obama,Bill Clinton,MENTIONS_PERSON
Barack Obama,Paul Ryan,MENTIONS_PERSON
Barack Obama,Ronald Reagan,MENTIONS_PERSON
Barack Obama,Dick Cheney,MENTIONS_PERSON
Barack Obama,John Quincy Adams,MENTIONS_PERSON
Barack Obama,Theodore Roosevelt,MENTIONS_PERSON
Barack Obama,George H. W. Bush,MENTIONS_PERSON
Barack Obama,Maria Ressa,MENTIONS_PERSON
Barack Obama,Rudy Giuliani,MENTIONS_PERSON
Barack Obama,Vladimir Vladimirovich Putin,MENTIONS_PERSON
Barack Obama,Mark Zuckerberg,MENTIONS_PERSON
Barack Obama,Angela Merkel,MENTIONS_PERSON
Barack Obama,Kamala Harris,MENTIONS_PERSON
Doug Emhoff,Kamala Harris,MENTIONS_PERSON
Doug Emhoff,Joe Biden,MENTIONS_PERSON
Guido Westerwelle,Angela Merkel,MENTIONS_PERSON
Guido Westerwelle,Frank-Walter Steinmeier,MENTIONS_PERSON
Guido Westerwelle,Philipp Rösler,MENTIONS_PERSON
Guido Westerwelle,Sigmar Gabriel,MENTIONS_PERSON
Guido Westerwelle,Olaf Scholz,MENTIONS_PERSON
Frank-Walter Steinmeier,Angela Merkel,MENTIONS_PERSON
Frank-Walter Steinmeier,Olaf Scholz,MENTIONS_PERSON
Frank-Walter Steinmeier,Joachim Gauck,MENTIONS_PERSON
Frank-Walter Steinmeier,Guido Westerwelle,MENTIONS_PERSON
Frank-Walter Steinmeier,Sigmar Gabriel,MENTIONS_PERSON
Frank-Walter Steinmeier,Vladimir Vladimirovich Putin,MENTIONS_PERSON
Frank-Walter Steinmeier,Horst Köhler,MENTIONS_PERSON
Frank-Walter Steinmeier,Christian Wulff,MENTIONS_PERSON
Horst Köhler,Angela Merkel,MENTIONS_PERSON
Horst Köhler,Christian Wulff,MENTIONS_PERSON
Donald Trump,JD Vance,MENTIONS_PERSON
Donald Trump,Joe Biden,MENTIONS_PERSON
Donald Trump,Mike Pence,MENTIONS_PERSON
Donald Trump,Barack Obama,MENTIONS_PERSON
Donald Trump,Ivanka Trump,MENTIONS_PERSON
Donald Trump,Barron Trump,MENTIONS_PERSON
Donald Trump,Theodore Roosevelt,MENTIONS_PERSON
Donald Trump,Vladimir Vladimirovich Putin,MENTIONS_PERSON
Donald Trump,Hillary Clinton,MENTIONS_PERSON
Donald Trump,Brett Kavanaugh,MENTIONS_PERSON
Donald Trump,Ronald Reagan,MENTIONS_PERSON
Donald Trump,Mitt Romney,MENTIONS_PERSON
Donald Trump,Bill Clinton,MENTIONS_PERSON
Donald Trump,George H. W. Bush,MENTIONS_PERSON
Donald Trump,George W. Bush,MENTIONS_PERSON
Donald Trump,Paul Ryan,MENTIONS_PERSON
Donald Trump,Rodrigo Duterte,MENTIONS_PERSON
Donald Trump,Rudy Giuliani,MENTIONS_PERSON
Donald Trump,Hunter Biden,MENTIONS_PERSON
