src_person,dst_university,relation
Andrew Giuliani,Duke University,MENTIONS_UNIVERSITY
Beau Biden,Đại học Pennsylvania,MENTIONS_UNIVERSITY
Brett Kavanaugh,Đại học Yale,MENTIONS_UNIVERSITY
Dick Cheney,Đại học Yale,MENTIONS_UNIVERSITY
Dick Cheney,Đại học Wyoming,MENTIONS_UNIVERSITY
Dmitry Anatolyevich Medvedev,Đại học Tổng hợp Sankt-Peterburg,MENTIONS_UNIVERSITY
Bill Clinton,Đại học Georgetown,MENTIONS_UNIVERSITY
Bill Clinton,Trường Dịch vụ Đối ngoại,MENTIONS_UNIVERSITY
Bill Clinton,Đại học Oxford,MENTIONS_UNIVERSITY
Bill Clinton,Đại học Yale,MENTIONS_UNIVERSITY
Angela Merkel,Đại học Leipzig,MENTIONS_UNIVERSITY
Barack Obama,Đại học Columbia,MENTIONS_UNIVERSITY
Barack Obama,Đại học Harvard,MENTIONS_UNIVERSITY
Doug Emhoff,Đại học Nam California,MENTIONS_UNIVERSITY
Guido Westerwelle,Đại học Bonn,MENTIONS_UNIVERSITY
Horst Köhler,Đại học Tübingen,MENTIONS_UNIVERSITY
Donald Trump,Đại học Pennsylvania,MENTIONS_UNIVERSITY
Helmut Kohl,Đại học Heidelberg,MENTIONS_UNIVERSITY
George H. W. Bush,Đại học Yale,MENTIONS_UNIVERSITY
George W. Bush,Đại học Yale,MENTIONS_UNIVERSITY
George W. Bush,Đại học Harvard,MENTIONS_UNIVERSITY
JD Vance,Đại học Bang Ohio,MENTIONS_UNIVERSITY
JD Vance,Đại học Yale,MENTIONS_UNIVERSITY
Hunter Biden,Đại học Georgetown,MENTIONS_UNIVERSITY
Hunter Biden,Đại học Yale,MENTIONS_UNIVERSITY
Ivanka Trump,Đại học Pennsylvania,MENTIONS_UNIVERSITY
Ivanka Trump,Đại học Georgetown,MENTIONS_UNIVERSITY
Hillary Clinton,Đại học Yale,MENTIONS_UNIVERSITY
Hillary Clinton,Đại học Columbia,MENTIONS_UNIVERSITY
Hillary Clinton,Đại học Princeton,MENTIONS_UNIVERSITY
Hillary Clinton,Đại học Stanford,MENTIONS_UNIVERSITY
Jerry Brown,"University of California, Berkeley",MENTIONS_UNIVERSITY
Michael Bloomberg,Đại học Johns Hopkins,MENTIONS_UNIVERSITY
Michael Bloomberg,Đại học,MENTIONS_UNIVERSITY
Michael Bloomberg,Đại học Harvard,MENTIONS_UNIVERSITY
John Quincy Adams,Đại học Harvard,MENTIONS_UNIVERSITY
Maria Ressa,Đại học Princeton,MENTIONS_UNIVERSITY
Jill Biden,Đại học Delaware,MENTIONS_UNIVERSITY
Jill Biden,Đại học Villanova,MENTIONS_UNIVERSITY
Laura Bush,Đại học Texas tại Austin,MENTIONS_UNIVERSITY
Laura Bush,Đại học Yale,MENTIONS_UNIVERSITY
Kamala Harris,Đại học Howard,MENTIONS_UNIVERSITY
Kamala Harris,Trường Luật Hastings,MENTIONS_UNIVERSITY
Kamala Harris,Đại học Stanford,MENTIONS_UNIVERSITY
Mitt Romney,Đại học Harvard,MENTIONS_UNIVERSITY
Mark Zuckerberg,Đại học Harvard,MENTIONS_UNIVERSITY
Mark Zuckerberg,Đại học Johns Hopkins,MENTIONS_UNIVERSITY
Michelle Obama,Đại học Princeton,MENTIONS_UNIVERSITY
Michelle Obama,Đại học Harvard,MENTIONS_UNIVERSITY
John McCain,Học viện Hải quân Hoa Kỳ,MENTIONS_UNIVERSITY
John McCain,Đại học Columbia,MENTIONS_UNIVERSITY
Paul Ryan,Đại học Miami,MENTIONS_UNIVERSITY
Olaf Scholz,Đại học Hamburg,MENTIONS_UNIVERSITY
Rudy Giuliani,New York University,MENTIONS_UNIVERSITY
Sigmar Gabriel,Đại học Göttingen,MENTIONS_UNIVERSITY
Wolfgang Schäuble,Đại học Freiburg,MENTIONS_UNIVERSITY
Wolfgang Schäuble,Đại học Hamburg,MENTIONS_UNIVERSITY
Theodore Roosevelt,Đại học Harvard,MENTIONS_UNIVERSITY
Theodore Roosevelt,Học viện Hải quân Hoa Kỳ,MENTIONS_UNIVERSITY
Vladimir Vladimirovich Putin,Đại học Tổng hợp Sankt-Peterburg,MENTIONS_UNIVERSITY
Joe Biden,Đại học Delaware,MENTIONS_UNIVERSITY
Joe Biden,Học viện Hải quân Hoa Kỳ,MENTIONS_UNIVERSITY
Joe Biden,Đại học Pennsylvania,MENTIONS_UNIVERSITY
