src_university,dst_university,relation
Trường Dịch vụ Đối ngoại,Đại học Georgetown,UNIVERSITY_MENTIONS_UNIVERSITY
Trường Dịch vụ Đối ngoại,Đại học Harvard,UNIVERSITY_MENTIONS_UNIVERSITY
Trường Dịch vụ Đối ngoại,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Berkeley",Đại học Harvard,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Berkeley",Đại học Oxford,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Berkeley",Đại học Stanford,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Berkeley",Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Berkeley",Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Berkeley",Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Berkeley",Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Berkeley",Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Berkeley",Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
"Đại học California, Berkeley",Đại học Yale,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Duke,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Duke,Đại học Harvard,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Duke,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Duke,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Duke,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Duke,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Duke,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Duke,Đại học Stanford,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Duke,Đại học Yale,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bonn,Đại học Hamburg,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Bonn,Đại học Göttingen,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Yale,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Harvard,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Stanford,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Georgetown,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Columbia,Đại học Oxford,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Heidelberg,Đại học Bonn,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Heidelberg,Đại học Hamburg,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Johns Hopkins,Đại học Harvard,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Johns Hopkins,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Johns Hopkins,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Johns Hopkins,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Johns Hopkins,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Johns Hopkins,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Johns Hopkins,Đại học Stanford,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Johns Hopkins,Đại học Yale,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Georgetown,Trường Dịch vụ Đối ngoại,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Georgetown,Đại học Harvard,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Georgetown,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
