src_id,src_type,dst_id,dst_type,relation
10,Person,470,University,alumni_of
10,Person,540,University,alumni_of
11,Person,406,University,alumni_of
12,Person,53,University,alumni_of
19,Person,312,University,alumni_of
19,Person,640,University,alumni_of
19,Person,731,University,alumni_of
20,Person,344,University,alumni_of
23,Person,458,University,alumni_of
23,Person,690,University,alumni_of
26,Person,581,University,alumni_of
27,Person,482,University,alumni_of
29,Person,798,University,alumni_of
29,Person,803,University,alumni_of
30,Person,401,University,alumni_of
31,Person,561,University,alumni_of
35,Person,664,University,alumni_of
35,Person,665,University,alumni_of
36,Person,743,University,alumni_of
37,Person,664,University,alumni_of
42,Person,364,University,alumni_of
43,Person,645,University,alumni_of
45,Person,576,University,alumni_of
45,Person,736,University,alumni_of
49,Person,745,University,alumni_of
53,Person,480,University,alumni_of
53,Person,683,University,alumni_of
59,Person,508,University,alumni_of
60,Person,35,University,alumni_of
60,Person,310,University,alumni_of
60,Person,840,University,alumni_of
62,Person,53,University,alumni_of
63,Person,741,University,alumni_of
67,Person,516,University,alumni_of
68,Person,567,University,alumni_of
69,Person,508,University,alumni_of
71,Person,30,University,alumni_of
71,Person,516,University,alumni_of
71,Person,518,University,alumni_of
72,Person,585,University,alumni_of
74,Person,585,University,alumni_of
75,Person,664,University,alumni_of
80,Person,440,University,alumni_of
81,Person,509,University,alumni_of
83,Person,53,University,alumni_of
85,Person,334,University,alumni_of
85,Person,411,University,alumni_of
85,Person,417,University,alumni_of
86,Person,23,University,alumni_of
86,Person,433,University,alumni_of
87,Person,837,University,alumni_of
88,Person,511,University,alumni_of
88,Person,639,University,alumni_of
91,Person,35,University,alumni_of
91,Person,366,University,alumni_of
97,Person,632,University,alumni_of
97,Person,842,University,alumni_of
98,Person,434,University,alumni_of
99,Person,678,University,alumni_of
102,Person,454,University,alumni_of
112,Person,516,University,alumni_of
112,Person,598,University,alumni_of
112,Person,736,University,alumni_of
117,Person,842,University,alumni_of
118,Person,600,University,alumni_of
120,Person,708,University,alumni_of
120,Person,778,University,alumni_of
122,Person,690,University,alumni_of
123,Person,683,University,alumni_of
123,Person,842,University,alumni_of
125,Person,391,University,alumni_of
126,Person,581,University,alumni_of
127,Person,406,University,alumni_of
130,Person,798,University,alumni_of
130,Person,803,University,alumni_of
132,Person,795,University,alumni_of
132,Person,802,University,alumni_of
133,Person,362,University,alumni_of
133,Person,516,University,alumni_of
136,Person,416,University,alumni_of
139,Person,516,University,alumni_of
142,Person,519,University,alumni_of
143,Person,368,University,alumni_of
144,Person,266,University,alumni_of
144,Person,267,University,alumni_of
145,Person,736,University,alumni_of
156,Person,440,University,alumni_of
156,Person,516,University,alumni_of
158,Person,516,University,alumni_of
159,Person,369,University,alumni_of
162,Person,751,University,alumni_of
163,Person,290,University,alumni_of
163,Person,399,University,alumni_of
163,Person,408,University,alumni_of
163,Person,411,University,alumni_of
163,Person,712,University,alumni_of
164,Person,798,University,alumni_of
164,Person,803,University,alumni_of
166,Person,766,University,alumni_of
167,Person,664,University,alumni_of
173,Person,516,University,alumni_of
175,Person,411,University,alumni_of
176,Person,764,University,alumni_of
178,Person,401,University,alumni_of
180,Person,764,University,alumni_of
183,Person,362,University,alumni_of
185,Person,751,University,alumni_of
190,Person,649,University,alumni_of
191,Person,736,University,alumni_of
191,Person,800,University,alumni_of
200,Person,645,University,alumni_of
202,Person,516,University,alumni_of
203,Person,708,University,alumni_of
206,Person,516,University,alumni_of
206,Person,842,University,alumni_of
207,Person,708,University,alumni_of
211,Person,822,University,alumni_of
211,Person,842,University,alumni_of
214,Person,678,University,alumni_of
215,Person,664,University,alumni_of
215,Person,667,University,alumni_of
218,Person,249,University,alumni_of
219,Person,482,University,alumni_of
220,Person,35,University,alumni_of
220,Person,742,University,alumni_of
228,Person,89,University,alumni_of
228,Person,281,University,alumni_of
232,Person,416,University,alumni_of
232,Person,427,University,alumni_of
232,Person,636,University,alumni_of
233,Person,508,University,alumni_of
234,Person,491,University,alumni_of
234,Person,568,University,alumni_of
236,Person,741,University,alumni_of
237,Person,148,University,alumni_of
237,Person,345,University,alumni_of
237,Person,664,University,alumni_of
238,Person,690,University,alumni_of
239,Person,319,University,alumni_of
240,Person,509,University,alumni_of
240,Person,742,University,alumni_of
244,Person,678,University,alumni_of
245,Person,599,University,alumni_of
248,Person,531,University,alumni_of
249,Person,509,University,alumni_of
250,Person,480,University,alumni_of
254,Person,302,University,alumni_of
254,Person,579,University,alumni_of
254,Person,590,University,alumni_of
254,Person,830,University,alumni_of
255,Person,672,University,alumni_of
256,Person,842,University,alumni_of
258,Person,35,University,alumni_of
259,Person,783,University,alumni_of
261,Person,490,University,alumni_of
266,Person,446,University,alumni_of
271,Person,678,University,alumni_of
274,Person,653,University,alumni_of
275,Person,516,University,alumni_of
276,Person,290,University,alumni_of
276,Person,399,University,alumni_of
276,Person,408,University,alumni_of
276,Person,411,University,alumni_of
277,Person,89,University,alumni_of
277,Person,281,University,alumni_of
277,Person,678,University,alumni_of
278,Person,683,University,alumni_of
279,Person,829,University,alumni_of
288,Person,499,University,alumni_of
288,Person,562,University,alumni_of
293,Person,736,University,alumni_of
294,Person,664,University,alumni_of
296,Person,364,University,alumni_of
296,Person,516,University,alumni_of
298,Person,690,University,alumni_of
299,Person,664,University,alumni_of
300,Person,834,University,alumni_of
303,Person,834,University,alumni_of
305,Person,664,University,alumni_of
306,Person,775,University,alumni_of
308,Person,53,University,alumni_of
312,Person,53,University,alumni_of
316,Person,708,University,alumni_of
319,Person,842,University,alumni_of
327,Person,480,University,alumni_of
329,Person,344,University,alumni_of
330,Person,516,University,alumni_of
330,Person,842,University,alumni_of
334,Person,473,University,alumni_of
336,Person,440,University,alumni_of
336,Person,672,University,alumni_of
340,Person,632,University,alumni_of
340,Person,842,University,alumni_of
343,Person,764,University,alumni_of
348,Person,741,University,alumni_of
349,Person,30,University,alumni_of
349,Person,518,University,alumni_of
349,Person,678,University,alumni_of
358,Person,825,University,alumni_of
359,Person,516,University,alumni_of
359,Person,650,University,alumni_of
361,Person,397,University,alumni_of
365,Person,755,University,alumni_of
368,Person,664,University,alumni_of
375,Person,775,University,alumni_of
376,Person,202,University,alumni_of
377,Person,614,University,alumni_of
378,Person,516,University,alumni_of
