id,name,label,wiki_url
1,Abdoulkader Kamil Mohamed,Person,https://vi.wikipedia.org/wiki/Abdoulkader_Kamil_Mohamed
2,Abdurrahman Wahid,Person,https://vi.wikipedia.org/wiki/Abdurrahman_Wahid
3,Abiy Ahmed,Person,https://vi.wikipedia.org/wiki/Abiy_Ahmed
4,Abe Nobuyuki,Person,https://vi.wikipedia.org/wiki/Abe_Nobuyuki
5,Aaron Sorkin,Person,https://vi.wikipedia.org/wiki/Aaron_Sorkin
6,A. P. J. Abdul Kalam,Person,https://vi.wikipedia.org/wiki/A._P._J._Abdul_Kalam
7,Abdel Fattah el-Sisi,Person,https://vi.wikipedia.org/wiki/Abdel_Fattah_el-Sisi
8,Abdullah Abdullah,Person,https://vi.wikipedia.org/wiki/Abdullah_Abdullah
9,Adlai Stevenson I,Person,https://vi.wikipedia.org/wiki/Adlai_Stevenson_I
10,Abdullah Gül,Person,https://vi.wikipedia.org/wiki/Abdullah_G%C3%BCl
11,Adly Mansour,Person,https://vi.wikipedia.org/wiki/Adly_Mansour
12,Abhisit Vejjajiva,Person,https://vi.wikipedia.org/wiki/Abhisit_Vejjajiva
13,Ahmad Massoud,Person,https://vi.wikipedia.org/wiki/Ahmad_Massoud
14,Ahmed Kathrada,Person,https://vi.wikipedia.org/wiki/Ahmed_Kathrada
15,Ahmet Davutoğlu,Person,https://vi.wikipedia.org/wiki/Ahmet_Davuto%C4%9Flu
16,Alain Poher,Person,https://vi.wikipedia.org/wiki/Alain_Poher
17,Alar Karis,Person,https://vi.wikipedia.org/wiki/Alar_Karis
18,Ahmet Necdet Sezer,Person,https://vi.wikipedia.org/wiki/Ahmet_Necdet_Sezer
19,Abe Shinzō,Person,https://vi.wikipedia.org/wiki/Abe_Shinz%C5%8D
20,Alain Juppé,Person,https://vi.wikipedia.org/wiki/Alain_Jupp%C3%A9
21,Adolfo Suárez,Person,https://vi.wikipedia.org/wiki/Adolfo_Su%C3%A1rez
22,Alan García,Person,https://vi.wikipedia.org/wiki/Alan_Garc%C3%ADa
23,Alassane Ouattara,Person,https://vi.wikipedia.org/wiki/Alassane_Ouattara
24,Alben W. Barkley,Person,https://vi.wikipedia.org/wiki/Alben_W._Barkley
25,Alban Berg,Person,https://vi.wikipedia.org/wiki/Alban_Berg
26,Alenka Bratušek,Person,https://vi.wikipedia.org/wiki/Alenka_Bratu%C5%A1ek
27,Aleksander Kwaśniewski,Person,https://vi.wikipedia.org/wiki/Aleksander_Kwa%C5%9Bniewski
28,Alex Salmond,Person,https://vi.wikipedia.org/wiki/Alex_Salmond
29,Alcide De Gasperi,Person,https://vi.wikipedia.org/wiki/Alcide_De_Gasperi
30,Alberto Fernández,Person,https://vi.wikipedia.org/wiki/Alberto_Fern%C3%A1ndez
31,Albert Speer,Person,https://vi.wikipedia.org/wiki/Albert_Speer
32,Aldo Moro,Person,https://vi.wikipedia.org/wiki/Aldo_Moro
33,Alexander Schallenberg,Person,https://vi.wikipedia.org/wiki/Alexander_Schallenberg
34,Albert Gallatin,Person,https://vi.wikipedia.org/wiki/Albert_Gallatin
35,Alexander Stubb,Person,https://vi.wikipedia.org/wiki/Alexander_Stubb
36,Alberto Fujimori,Person,https://vi.wikipedia.org/wiki/Alberto_Fujimori
37,Alexandre Millerand,Person,https://vi.wikipedia.org/wiki/Alexandre_Millerand
38,Alexander Van der Bellen,Person,https://vi.wikipedia.org/wiki/Alexander_Van_der_Bellen
39,Alec Douglas-Home,Person,https://vi.wikipedia.org/wiki/Alec_Douglas-Home
40,Alexis Tsipras,Person,https://vi.wikipedia.org/wiki/Alexis_Tsipras
41,Alfred Rosenberg,Person,https://vi.wikipedia.org/wiki/Alfred_Rosenberg
42,Anders Fogh Rasmussen,Person,https://vi.wikipedia.org/wiki/Anders_Fogh_Rasmussen
43,Amy Coney Barrett,Person,https://vi.wikipedia.org/wiki/Amy_Coney_Barrett
44,Alfred Deakin,Person,https://vi.wikipedia.org/wiki/Alfred_Deakin
45,Andreas Norlén,Person,https://vi.wikipedia.org/wiki/Andreas_Norl%C3%A9n
46,Anders Zorn,Person,https://vi.wikipedia.org/wiki/Anders_Zorn
47,Andrew Giuliani,Person,https://vi.wikipedia.org/wiki/Andrew_Giuliani
48,Andrej Babiš,Person,https://vi.wikipedia.org/wiki/Andrej_Babi%C5%A1
49,Andrus Ansip,Person,https://vi.wikipedia.org/wiki/Andrus_Ansip
50,Andrew Cuomo,Person,https://vi.wikipedia.org/wiki/Andrew_Cuomo
51,Amitabh Bachchan,Person,https://vi.wikipedia.org/wiki/Amitabh_Bachchan
52,Andrew Fisher,Person,https://vi.wikipedia.org/wiki/Andrew_Fisher
53,Allen Dulles,Person,https://vi.wikipedia.org/wiki/Allen_Dulles
54,Amartya Sen,Person,https://vi.wikipedia.org/wiki/Amartya_Sen
55,Andrzej Duda,Person,https://vi.wikipedia.org/wiki/Andrzej_Duda
56,Andrés Manuel López Obrador,Person,https://vi.wikipedia.org/wiki/Andr%C3%A9s_Manuel_L%C3%B3pez_Obrador
57,Anne Hidalgo,Person,https://vi.wikipedia.org/wiki/Anne_Hidalgo
58,Alexandria Ocasio-Cortez,Person,https://vi.wikipedia.org/wiki/Alexandria_Ocasio-Cortez
59,Anneli Jäätteenmäki,Person,https://vi.wikipedia.org/wiki/Anneli_J%C3%A4%C3%A4tteenm%C3%A4ki
60,Andy Beshear,Person,https://vi.wikipedia.org/wiki/Andy_Beshear
61,Anthony Lake,Person,https://vi.wikipedia.org/wiki/Anthony_Lake
62,Anthony Eden,Person,https://vi.wikipedia.org/wiki/Anthony_Eden
63,Anthony Albanese,Person,https://vi.wikipedia.org/wiki/Anthony_Albanese
64,Antonio Salandra,Person,https://vi.wikipedia.org/wiki/Antonio_Salandra
65,Anton Bruckner,Person,https://vi.wikipedia.org/wiki/Anton_Bruckner
66,Antony Beevor,Person,https://vi.wikipedia.org/wiki/Antony_Beevor
67,Antonis Samaras,Person,https://vi.wikipedia.org/wiki/Antonis_Samaras
68,Angela Merkel,Person,https://vi.wikipedia.org/wiki/Angela_Merkel
69,Antti Tulenheimo,Person,https://vi.wikipedia.org/wiki/Antti_Tulenheimo
70,Antony Blinken,Person,https://vi.wikipedia.org/wiki/Antony_Blinken
71,Antonin Scalia,Person,https://vi.wikipedia.org/wiki/Antonin_Scalia
72,António Costa,Person,https://vi.wikipedia.org/wiki/Ant%C3%B3nio_Costa
73,Aníbal Cavaco Silva,Person,https://vi.wikipedia.org/wiki/An%C3%ADbal_Cavaco_Silva
74,António Guterres,Person,https://vi.wikipedia.org/wiki/Ant%C3%B3nio_Guterres
75,Armand Fallières,Person,https://vi.wikipedia.org/wiki/Armand_Falli%C3%A8res
76,Anwar Al-Sadad,Person,https://vi.wikipedia.org/wiki/Anwar_Al-Sadad
77,Arnaldo Forlani,Person,https://vi.wikipedia.org/wiki/Arnaldo_Forlani
78,Asha-Rose Migiro,Person,https://vi.wikipedia.org/wiki/Asha-Rose_Migiro
79,Ashfaq Parvez Kayani,Person,https://vi.wikipedia.org/wiki/Ashfaq_Parvez_Kayani
80,Ashraf Ghani,Person,https://vi.wikipedia.org/wiki/Ashraf_Ghani
81,Ariel Sharon,Person,https://vi.wikipedia.org/wiki/Ariel_Sharon
82,Atal Bihari Vajpayee,Person,https://vi.wikipedia.org/wiki/Atal_Bihari_Vajpayee
83,"Arthur Wellesley, Công tước thứ 1 xứ Wellington",Person,https://vi.wikipedia.org/wiki/Arthur_Wellesley%2C_C%C3%B4ng_t%C6%B0%E1%BB%9Bc_th%E1%BB%A9_1_x%E1%BB%A9_Wellington
84,Anutin Charnvirakul,Person,https://vi.wikipedia.org/wiki/Anutin_Charnvirakul
85,Ardem Patapoutian,Person,https://vi.wikipedia.org/wiki/Ardem_Patapoutian
86,Anthony Fauci,Person,https://vi.wikipedia.org/wiki/Anthony_Fauci
87,Aung San,Person,https://vi.wikipedia.org/wiki/Aung_San
88,Arthur C. Clarke,Person,https://vi.wikipedia.org/wiki/Arthur_C._Clarke
89,Augusto Pinochet,Person,https://vi.wikipedia.org/wiki/Augusto_Pinochet
90,Asō Tarō,Person,https://vi.wikipedia.org/wiki/As%C5%8D_Tar%C5%8D
91,Asa Hutchinson,Person,https://vi.wikipedia.org/wiki/Asa_Hutchinson
92,Ayman al-Zawahiri,Person,https://vi.wikipedia.org/wiki/Ayman_al-Zawahiri
93,B. D. Jatti,Person,https://vi.wikipedia.org/wiki/B._D._Jatti
94,Beau Biden,Person,https://vi.wikipedia.org/wiki/Beau_Biden
95,Beata Szydło,Person,https://vi.wikipedia.org/wiki/Beata_Szyd%C5%82o
96,Barney Frank,Person,https://vi.wikipedia.org/wiki/Barney_Frank
97,Ben Carson,Person,https://vi.wikipedia.org/wiki/Ben_Carson
98,Bayanqolu,Person,https://vi.wikipedia.org/wiki/Bayanqolu
