id,name,label,wiki_url,alma_mater,birth_date,birth_place,children,death_date,education,nationality,occupation,spouse
1,Abdoulkader Kamil Mohamed,Person,https://vi.wikipedia.org/wiki/Abdoulkader_Kamil_Mohamed,Đại học Limoges,"1951 (73–74 tuổi); Souali; ,; Djibouti",,,,,,,
2,Abdurrahman Wahid,Person,https://vi.wikipedia.org/wiki/Abdurrahman_Wahid,Trường Ngữ pháp Karachi; [; 1; ]; Đại học Al-Azhar; (; Islamic studies; 1967); Đại học Baghdad,"Abdurrahman Addakhil; 7 tháng 9; năm; 1940; Jombang; ,; Đông Java; ,; Đông Ấn thuộc Hà Lan",,4,"30 tháng 12; năm; 2009; (69 tuổi); Jakarta; ,; Indonesia",,,,
4,Abe Nobuyuki,Person,https://vi.wikipedia.org/wiki/Abe_Nobuyuki,Học viện Lục quân Đế quốc Nhật Bản; Đại học Chiến tranh Lục quân,"24 tháng 11; năm; 1875; Kanazawa; ,; Đế quốc Nhật Bản",,,"7 tháng 9; năm; 1953; (77 tuổi); Tokyo; ,; Nhật Bản",,,,
6,A. P. J. Abdul Kalam,Person,https://vi.wikipedia.org/wiki/A._P._J._Abdul_Kalam,"Đại học St. Joseph, Tiruchirappalli; Viện công nghệ Madras","Avul Pakir Jainulabdeen Abdul Kalam; 15 tháng 10; năm; 1931; Rameswaram; , Quận Ramnad,; Tỉnh Madras; ,; Ấn Độ thuộc Anh; (nay là; Quận Ramanathapuram; ,; Tamil Nadu; ,; Ấn Độ; )",,,"27 tháng 7; năm; 2015; (83 tuổi); Shillong; ,; Meghalaya; ,; Ấn Độ",,,,
7,Abdel Fattah el-Sisi,Person,https://vi.wikipedia.org/wiki/Abdel_Fattah_el-Sisi,Học viện Quân sự Ai Cập,"Abdel Fattah Saeed Hussein Khalil el-Sisi; 19 tháng 11; năm; 1954; (70 tuổi); Cairo; ,; Tỉnh Cairo; ,; Ai Cập",,Mustafa; Mahmoud; Hassan; Aya,,,,,
8,Abdullah Abdullah,Person,https://vi.wikipedia.org/wiki/Abdullah_Abdullah,Đại học Y khoa Kabul,"5 tháng 9, 1960; (65 tuổi); [; cần dẫn nguồn; ]; Kārte Parwān; ,; Vương quốc Afghanistan",,4,,,,,
10,Abdullah Gül,Person,https://vi.wikipedia.org/wiki/Abdullah_G%C3%BCl,Đại học Istanbul; Đại học Exeter,"29 tháng 10; năm; 1950; (73 tuổi); Kayseri; ,; Thổ Nhĩ Kỳ",,Ahmet Münir; Kübra; Mehmet Emre,,,,,
11,Adly Mansour,Person,https://vi.wikipedia.org/wiki/Adly_Mansour,Đại học Cairo; École nationale d'administration,"23 tháng 12, 1945; (79 tuổi); Cairo; ,; Vương quốc Ai Cập",,,,,,,
12,Abhisit Vejjajiva,Person,https://vi.wikipedia.org/wiki/Abhisit_Vejjajiva,"Eton College; St John's College, Oxford; Ramkhamhaeng University","Mark Abhisit Vejjajiva; 3 tháng 8, 1964; (61 tuổi); Wallsend; ,; Northumberland; ,; Anh; [; 1; ]; [; 2; ]",,Prang; Punnasit; [; 3; ],,,,,
13,Ahmad Massoud,Person,https://vi.wikipedia.org/wiki/Ahmad_Massoud,Đại học Hoàng đế Luân Đôn; Đại học London,"10 tháng 7, 1989; (36 tuổi); Warsaj; ,; Afghanistan",,,,,,CEO của Quỹ Massoud,
14,Ahmed Kathrada,Person,https://vi.wikipedia.org/wiki/Ahmed_Kathrada,Đại học Nam Phi,"Ahmed Mohamed Kathrada; (; 1929-08-21; ); 21 tháng 8 năm 1929; Schweizer-Reneke; ,; Transvaal Province; ,; Union of South Africa",,,"28 tháng 3 năm 2017; (2017-03-28); (87 tuổi); Johannesburg; , South Africa",,,,
15,Ahmet Davutoğlu,Person,https://vi.wikipedia.org/wiki/Ahmet_Davuto%C4%9Flu,Đại học Boğaziçi,"26 tháng 2, 1959; (66 tuổi); Konya; ,; Thổ Nhĩ Kỳ",,Sefure; Meymune; Mehmet; Hacer Bike,,,,,
