id,name,label,wiki_url,1981–1984,1984–1985,1985–1986,1986–1987,1987,1987–1988,1987–2003,1988–1992,1992–1995,1995–2000,2000,2000–2001,2001–2003,2013–2015,2013–2018,2013–2019,2015–2019,2018–2019,2019,2019 đến nay,2019–2020,2020 đến nay,2020–2021,2022 đến nay,Alma mater,An nghỉ,An táng,Anh chị em,Bang vụ khanh,Biệt danh,Bí thư,Bí thư Thành ủy,Bí thư Tỉnh ủy,Bí thư thứ nhấtBan Bí thư,Bí thư Đảng ủy Bộ,Bính âm Hán ngữ,Bút danh,Bạn đời,Bảo trợ,Bổ nhiệm,Bổ nhiệm bởi,Bộ trưởng,Bộ trưởng Quốc phòng,Cha,Cha mẹ,Chief Minister,Chief Ministers,Chief Whip,Chiều cao,Chosŏn'gŭl,Chuyên môn,Chuyển tự,Chánh án,Chân phước,Chỉ huy,Chịu ảnh hưởng của,Chồng,Chủ nhiệm,Chủ tịch,Chủ tịch Chính phủ Quốc dân,Chủ tịch Hạ viện,Chủ tịch Hội đồng,Chủ tịch Hội đồng Nhân dân,Chủ tịch Mặt trận,Chủ tịch Quân ủy,Chủ tịch Quốc hội,Chủ tịch Thượng viện,Chủ tịch nước,Chủ tịch Đảng,Chủ tịch Ủy ban,Chủ tịch(Thủ tướng),Chủ đề,Chức bộ trưởng,Chức bộ trưởng1908–1929,Chức bộ trưởng1939–1952,Chức nghị sĩ,Chức quan,Chức vị,Chức vụ cao cấp,Chức vụ khác,Chức vụ quan trọng khác,Chữ ký,Con cái,Các chức khác,Các chức vụ chính phủ,Các chức vụ khác,Các nghiên cứu sinh nổi tiếng,Các nút Play,Các sinh viên nổi tiếng,"Cán bộ điều hành,PEC",Có tác phẩm trong,Công dân,Công nhận,Công trình tiêu biểu,Công việc trước đó,Cùng với,Cư trú,Cấp bậc,Cấp phó,Cố vấn Nhà nước,Cố vấn nhà nước,Danh hiệu,Deputy,Dân tộc,Dạng thời khóa biểu,First Deputy,Führer,Führer/Tổng thống,General Secretary,Gia quyến,Gia tộc,Gia đình,Giai đoạn sáng tác,Giáo dục,Giáo hội,Giáo phận,Giáo tỉnh,Giải thưởng,Giải thưởng nổi bật,Giảng viên,Giản thể,Giới tính,Hancha,Hangul,Hanja,Head,Head of Government,Hiragana,Hiệu trưởng,Hoàng tộc,Hoàng đế,Hán-Việt,Hãng đĩa,Hôn nhân,Hạng,Hậu duệ,Hết nhiệm,Hệ phái,Họ hàng,Học kỳ,Học sinh,Học vấn,Học vị,Hợp tác với,IPA,Julie Payette,Junior ministerial offices,Kanji,Katakana,Khu bầu cử,Khu vực,Khu vực bầu cử,Khuôn viên,Khẩu hiệu,Khẩu hiệu trong Tiếng Anh,Kế nhiệm,Latinh hóa,Latinh hóa Yale,Linh vật,Liên kết học tập,Liên kết thể thao,Location,Loại,Loại giọng,Loại hình,Luận án,Lãnh tụ Tối cao,Lãnh tụ tối cao,Lãnh đạo,Lĩnh vực,Lương bổng,Lượt đăng ký,Lễ kính,McCune–Reischauer,Ministry,Muhammad Yunus,Màu,Mãn nhiệm,Mất,Mẹ,National Chair,Net worth,Nghiên cứu sinh,Nghề nghiệp,Nghỉ hưu,Nghị phó,Nguyên nhân,Nguyên nhân mất,Nguyên quán,Ngành,Ngành phụ,Ngày an táng,Ngày mất,Ngày sinh,Ngôn ngữ,Người bảo trợ,Người hướng dẫn luận án tiến sĩ,Người phối ngẫu,Người thân,Người tình,Nhiếp chính,Nhiệm kỳ,Nhà tuyển dụng,Nhân viên,Nhân viên quản lý,Nhạc cụ,Năm,Năm hoạt động,Năm tại ngũ,Năm tại ngũ,Nơi an nghỉ,Nơi an táng,Nơi công tác,Nơi cư ngụ,Nơi cư trú,Nơi mất,Nơi sinh,Nơi ở,Nổi tiếng vì,Nổi tiếng vì,Nội các,Nữ hoàng,Nữ hoàng/Vua,Nữ vương,POJtiếng Mân Tuyền Chương,Phiên âm,Phong thánh,Phát ngôn nhân,Phê phán,Phó Bí thư,Phó Chủ nhiệm,Phó Chủ tịch,Phó Chủ tịch nước,Phó Giám đốc,Phó Hiệu trưởng thứ nhất,Phó Thị trường,Phó Thị trưởng,Phó Thống đốc,Phó Thủ tướng,Phó Thủ tướng thứ nhất,Phó Thủ tướng Đức,Phó Trưởng ban,Phó Tư lệnh kiêm Tham mưu trưởng,Phó Tổng Bí thư,Phó Tổng Giám đốc,Phó Tổng Tham mưu trưởng,Phó Tổng lý,Phó Tổng thống,Phó Tổng thống thứ hai,Phó Tổng thống thứ nhất Zimbabwe,Phó chủ nhiệm,Phó chức,Phó hiệu trưởng,Phó thị trưởng,Phó thống đốc,Phó thủ tướng,Phó tổng thống,Phó Ủy viên trưởng,Phù hiệu,Phù hiệu sứ mệnh,Phối ngẫu,Phồn thể,Phụ tá Tổng trưởngĐổng lý Văn phòng,Phục vụ,Positions,Quan hệ,Quan thầy của,Quan tâm chính,Quyền Tổng Tham mưu trưởng,Quân chủ,Quân chủng,Quê quán,Quốc trưởng,Quốc tịch,Quốc vương,Romaja quốc ngữ,Rōmaji,Rửa tội,Secretary-General,Sinh,Sinh viên,Sinh viên nổi bật,Sinh viên sau đại học,Sinh viên đại học,Sáng lập,Số Sinh viên,Số phiếu,Số quân chủng,Sứ mệnh,Taoiseach,Tham chiến,Thiên hoàng,Thuộc,Thành lập,Thành viên của,Thành viên của hội đồng,Thánh hiệu,Thân mẫu,Thân phụ,Thăng Hồng y,Thư ký đảng,Thường trực Ban Bí thư,Thầy giáo,Thể loại,Thị trưởng,Thống đốc,Thời gian trong không gian,Thời kỳ,Thụ phong,Thụ phong Linh mục,Thủ hiến,Thủ tướng,Thứ trưởng,Thứ trưởng (6),Tiếng Trung,Tiền lương,Tiền nhiệm,Toàn quyền,Trang web,Trang web chính thức,Trào lưu,Trường học,Trường lớp,Trường phái,Trường theo học,Trưởng ban,Trữ quân,Tuyên khấn,Tuyển chọn,Tài sản,Tài trợ,Tác phẩm,Tác phẩm nổi bật,Tác phẩm đáng chú ý,Tác phẩm nổi bật,Tánaiste,Tâi-lô,Tên bản ngữ,Tên chính thức,Tên khai sinh,Tên khác,Tên đầy đủ,Tình trạng kết hôn,Tòa,Tôn giáo,Tư cách công dân,Tư lệnh Hành quân,Tư tưởng nổi bật,Tại vị,Tấn phong,Tấn phong Giám mục,Tặng thưởng,Tặng thưởng dân sự,Tặng thưởng quân sự,Tỉ lệ,Tổ chức,Tổng Bí thư,Tổng Giám đốc,Tổng Tham mưu trưởng,Tổng Thanh tra,Tổng Thư ký,Tổng Tư lệnh,Tổng cộng,Tổng giám đốc,Tổng lý,Tổng lý Quốc vụ viên,Tổng lý Quốc vụ viện,Tổng lượt xem,Tổng thư ký,Tổng thống,Tổng tư lệnh quân đội,Tổng-Thư ký,Tờ báo,Tựu nhiệm,Vai diễn,Vice President,Vinh thăng Hồng y,Viện trưởng,Viện trưởng Hành chính viện,Việt bính,Vua,Vua/Nữ hoàng,Vùng,Văn phòng Bộ,Văn phòng Quốc hội,Vương tộc,Vị trí,Vợ,Vợ/chồng,Wade–Giles,Website,Whip,nhậm chức cùng,Ý tưởng tiêu biểu,Đào tạo,Đóng góp,Đăng quang,Đơn vị,Đương nhiệm,Đại biểu Quốc hội,Đại diện,Đại sứ,Đảng chính trị,Đảng khác,Đảng phái chính trị,Đặc khu trưởng,Đề cử,Đề cử bởi,Đền chính,Đệ nhất Tổng tài,Đối tượng chính,Đồng Thủ tướng,Đồng chủ tịch,Đồng tại nhiệm,Đồng tại vị,Đứng đầu,Ảnh hưởng bởi,Ảnh hưởng tới,Ủy viên trưởng,Ủy viên trưởng Nhân Đại
1,Abdoulkader Kamil Mohamed,Person,https://vi.wikipedia.org/wiki/Abdoulkader_Kamil_Mohamed,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Limoges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1951 (73–74 tuổi); Souali; ,; Djibouti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dileita Mohamed Dileita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ismaïl Omar Guelleh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đảng Nhân dân Tiến bộ,,,,,,,,,,,,,,,,,
2,Abdurrahman Wahid,Person,https://vi.wikipedia.org/wiki/Abdurrahman_Wahid,,,,,,,,,,,,,,,,,,,,,,,,,Trường Ngữ pháp Karachi; [; 1; ]; Đại học Al-Azhar; (; Islamic studies; 1967); Đại học Baghdad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Megawati Sukarnoputri,,,,,,,,,,,,,,,,,,,,,,,"30 tháng 12; năm; 2009; (69 tuổi); Jakarta; ,; Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jombang , Đông Java , Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Megawati Sukarnoputri,,,,,,,,,,,,,Sinta Nuriyah,,,,,,,,,,,,,,,,,,,"Abdurrahman Addakhil; 7 tháng 9; năm; 1940; Jombang; ,; Đông Java; ,; Đông Ấn thuộc Hà Lan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacharuddin Jusuf Habibie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www .gusdur .net,,,,,,,,,,,,Đảng Thức tỉnh Dân tộc,,,,,,,,,,,,,,,,,
3,Abiy Ahmed,Person,https://vi.wikipedia.org/wiki/Abiy_Ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information Network Security Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba con gái,,,,,,,,,,,,,,,Trung tá,Lemma Megersa,,,,,,,,,,,,,,,Microlink Information Technology College; (; BA; ); Đại học Greenwich; (; MA; ); Đại học Ashland; (; MBA; ); Đại học Addis Ababa; (; PhD; ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teklebirhan Woldearegay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991–2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinash Tayachew,,,Ethiopian Army,,,,,,,,,,,,,,,,"15 tháng 8, 1976; (49 tuổi); Beshasha; ,; Tỉnh Kaffa; ,; Ethiopia Xã hội chủ nghĩa",,,,,,,,,,,Nội chiến Ethiopia; United Nations Assistance Mission for Rwanda; Eritrean–Ethiopian War,,Ethiopia,,,,,,,,,,,,,,,,,,,Hailemariam Desalegn,,,,,Teklebirhan Woldearegay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mulatu Teshome,,,,,,,,,,,,,,,,,,,,,,,,,,,,Army Signals Corps,,,,,Oromo Peoples' Democratic Organization,Lực lượng Dân chủ Cách nạng Nhân dân Ethiopia,,,,,,,,,,,,,,,,
4,Abe Nobuyuki,Person,https://vi.wikipedia.org/wiki/Abe_Nobuyuki,,,,,,,,,,,,,,,,,,,,,,,,,Học viện Lục quân Đế quốc Nhật Bản; Đại học Chiến tranh Lục quân,,,,,,,,,,,,,,,,,,,,,,,,,,Tướng lĩnh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chức vụ bị bãi bỏ; Kim Il-Sung; (; Thủ tướng Triều Tiên; ); Syngman Rhee; (; Tổng thống Hàn Quốc; ),,,,,,,,,,,,,,,,,,,,,,,"7 tháng 9; năm; 1953; (77 tuổi); Tokyo; ,; Nhật Bản",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24 tháng 11; năm; 1875; Kanazawa; ,; Đế quốc Nhật Bản",,,,,,,,,,,,Chiêu Hoà,,,,,,,,,,,,,,,,,,,,,,,,,Kuniaki Koiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taisei Yokusankai (1940–1945),Độc lập (Trước năm 1940),,,,,,,,,,,,,,,,
5,Aaron Sorkin,Person,https://vi.wikipedia.org/wiki/Aaron_Sorkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Giải thưởng của Hiệp hội Nhà văn Hoa Kỳ, Giải Oscar cho Kịch bản chuyển thể xuất sắc nhất , Giải của Hội phê bình phim New York cho kịch bản hay nhất , Satellite Award for Best Adapted Screenplay, Giải Quả cầu vàng cho kịch bản hay nhất , Primetime Emmy Award for Outstanding Writing for a Drama Series, National Humanities Medal",,,,nam,,,,,,,,,,,,Julia Bingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nhà biên kịch , nhà sản xuất phim , nhà viết kịch , nhà văn , diễn viên , nhà thiết kế bối cảnh, diễn viên điện ảnh , nhà sản xuất phim truyền hình , nhà sản xuất truyền hình , đạo diễn phim",,,,,,,,,,"9 tháng 6, 1961",,,,,,,,,,,,,,1984 – nay,,,,,,,,,Thành phố New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,Hội Nhà văn Tây Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The West Wing , Molly's Game , Giết con chim nhại , Sports Night",,,,,,,,Aaron Benjamin Sorkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học Syracuse, Scarsdale High School",,,,,,,,,,,,,,,,,,,,,,,,,
6,A. P. J. Abdul Kalam,Person,https://vi.wikipedia.org/wiki/A._P._J._Abdul_Kalam,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học St. Joseph, Tiruchirappalli; Viện công nghệ Madras",,,,,,,,,,,,,,,,,,,,,,,,,,Giáo sư; Nhà sáng tác; Nhà khoa học vũ trụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pratibha Patil,,,,,,,,,,,,,,,,,,,,,,,"27 tháng 7; năm; 2015; (83 tuổi); Shillong; ,; Meghalaya; ,; Ấn Độ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krishan Kant; Bhairon Singh Shekhawat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avul Pakir Jainulabdeen Abdul Kalam; 15 tháng 10; năm; 1931; Rameswaram; , Quận Ramnad,; Tỉnh Madras; ,; Ấn Độ thuộc Anh; (nay là; Quận Ramanathapuram; ,; Tamil Nadu; ,; Ấn Độ; )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atal Bihari Vajpayee; Manmohan Singh,,,,,K. R. Narayanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abdulkalam .com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Abdel Fattah el-Sisi,Person,https://vi.wikipedia.org/wiki/Abdel_Fattah_el-Sisi,,,,,,,,,,,,,,,,,,,,,,,,,Học viện Quân sự Ai Cập,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mustafa; Mahmoud; Hassan; Aya,,,,,,,,,,,,,,,Thống chế (nghỉ hưu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahmoud Hegazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977–2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entissar Amer (cưới 1977),,,Lục quân Ai Cập,,,,,,,,,,,,,,,,"Abdel Fattah Saeed Hussein Khalil el-Sisi; 19 tháng 11; năm; 1954; (70 tuổi); Cairo; ,; Tỉnh Cairo; ,; Ai Cập",,,,,,,,,,,Chiến tranh Vùng Vịnh; Cuộc nổi dậy Sinai,,Ai Cập,,,,,,,,,,,,,,,,,,,Hesham Qandil; Hazem al-Beblawi; Ibrahim Mahlab,,,,,Murad Muwafi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hồi giáo Sunni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bộ binh,,,,,Độc lập,,,,,,,,,,,,,,,,,
8,Abdullah Abdullah,Person,https://vi.wikipedia.org/wiki/Abdullah_Abdullah,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Y khoa Kabul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangin Dadfar Spanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 tháng 3 năm 2010 – nay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5 tháng 9, 1960; (65 tuổi); [; cần dẫn nguồn; ]; Kārte Parwān; ,; Vương quốc Afghanistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdul Rahim Ghafoorzai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Official website,,,,,,,,,,,,Liên minh quốc gia Afghanistan (1996–nay),,,,,,,,,,,,,,,,,
9,Adlai Stevenson I,Person,https://vi.wikipedia.org/wiki/Adlai_Stevenson_I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4, bao gồm Lewis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois Wesleyan University; Centre College; (; BA; ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas F. Tipton,,,,,,,,,,,,,,,,,,,,,,,"14 tháng 6, 1914; (1914-06-14); (78 tuổi); Chicago; ,; Illinois; ,; Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nghĩa trang Evergreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letitia Green,,,,,,,,,,,,,,,,,,,"Adlai Ewing Stevenson; (; 1835-10-23; ); 23 tháng 10, 1835; Christian County, Kentucky; ,; Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John McNulta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grover Cleveland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dân chủ,,,,,,,,,,,,,,,,,
10,Abdullah Gül,Person,https://vi.wikipedia.org/wiki/Abdullah_G%C3%BCl,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Istanbul; Đại học Exeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmet Münir; Kübra; Mehmet Emre,,,,,,,,,,,,,Abdüllatif Şener; Mehmet Ali Şahin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali Babacan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdüllatif Şener; Mehmet Ali Şahin; Ertuğrul Yalçınbayır,,,,,,,,,,,,,,,,,,,,,,Hayrünnisa Özyurt (1980–nay),,,,,,,,,,,,,,,,,,,"29 tháng 10; năm; 1950; (73 tuổi); Kayseri; ,; Thổ Nhĩ Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necmettin Erbakan,,,,,Yaşar Yakış,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmet Necdet Sezer,,,,,,,,,,,,,,,,,,,,,Official website,,,,,,,,,,,,Đảng Phúc lợi; (Trước 1997); Đảng Đức hạnh; (1997–2001); Đảng Công lý và Phát triển; (2001–2007); Độc lập; (2007–nay),,,,,,,,,,,,,,,,,
