id,name,label,wiki_url,properties
1,Andrew Giuliani,Person,https://vi.wikipedia.org/wiki/Andrew_Giuliani,"{""Nhiệm kỳ"": ""ngày 6 tháng 3 năm 2017 –"", ""Sinh"": [""30 tháng 1, 1986"", ""(39 tuổi)"", ""New York City"", "","", ""New York"", "","", ""Hoa Kỳ""], ""Đảng chính trị"": ""Republican"", ""Alma mater"": ""Duke University""}"
2,Christian Wulff,Person,https://vi.wikipedia.org/wiki/Christian_Wulff,"{""Thủ tướng"": ""Angela Merkel"", ""Tiền nhiệm"": ""Sigmar Gabriel"", ""Kế nhiệm"": ""David McAllister"", ""Sinh"": [""16 tháng 9"", ""năm"", ""1959"", ""(66 tuổi)"", ""Osnabrück"", "","", ""Tây Đức""], ""Đảng chính trị"": ""Liên minh Dân chủ Thiên Chúa giáo"", ""Phối ngẫu"": [""Christiane Vogt"", ""(1988–2006)"", ""Bettina Körner"", ""(từ năm 2008)""], ""Con cái"": [""Annalena"", ""Linus""], ""Alma mater"": ""Đại học Osnabrück"", ""Chữ ký"": """"}"
3,Beau Biden,Person,https://vi.wikipedia.org/wiki/Beau_Biden,"{""Thống đốc"": [""Ruth Ann Minner"", ""Jack Markell""], ""Tiền nhiệm"": ""Carl Danberg"", ""Kế nhiệm"": ""Matthew Denn"", ""Sinh"": [""Joseph Robinette Biden III"", ""("", ""1969-02-03"", "")"", ""3 tháng 2, 1969"", ""Wilmington, Delaware"", "","", ""Hoa Kỳ""], ""Mất"": [""30 tháng 5, 2015"", ""(2015-05-30)"", ""(46 tuổi)"", ""Bethesda, Maryland"", "","", ""Hoa Kỳ""], ""Nguyên nhân mất"": ""U nguyên bào đệm"", ""Đảng chính trị"": ""Đảng Dân chủ"", ""Phối ngẫu"": ""Hallie Olivere (cưới 2002)"", ""Con cái"": ""2"", ""Cha mẹ"": [""Joe Biden"", ""(bố)"", ""Neilia Hunter"", ""(mẹ)""], ""Người thân"": ""Xem Gia đình Biden"", ""Giáo dục"": [""Đại học Pennsylvania"", ""("", ""BA"", "")"", ""Đại học Syracuse"", ""("", ""JD"", "")""], ""Website"": ""Official website"", ""Thuộc"": ""Hoa Kỳ"", ""Phục vụ"": ""Lục quân Hoa Kỳ Lực lượng Vệ binh Quốc gia Quân đội Delaware"", ""Năm tại ngũ"": ""2002–2015"", ""Cấp bậc"": ""Major"", ""Đơn vị"": ""261st Signal Brigade"", ""Tham chiến"": ""Chiến tranh Iraq"", ""Tặng thưởng"": [""Legion of Merit"", ""Bronze Star Medal""]}"
4,Brett Kavanaugh,Person,https://vi.wikipedia.org/wiki/Brett_Kavanaugh,"{""Đề cử bởi"": ""George W. Bush"", ""Tiền nhiệm"": ""Harriet Miers"", ""Kế nhiệm"": ""Raul F. Yanes"", ""Tổng thống"": ""George W. Bush"", ""Sinh"": [""Brett Michael Kavanaugh"", ""12 tháng 2, 1965"", ""(60 tuổi)"", ""Washington, D.C."", "", Hoa Kỳ""], ""Phối ngẫu"": ""Ashley Estes (cưới 2004)"", ""Con cái"": ""2 [ 1 ]"", ""Giáo dục"": ""Đại học Yale ( BA , JD )""}"
5,Boris Nikolayevich Yeltsin,Person,https://vi.wikipedia.org/wiki/Boris_Nikolayevich_Yeltsin,"{""Thủ tướng"": [""Ivan Silayev"", ""Oleg Lobov"", ""(Quyền)"", ""Yegor Gaidar"", ""(Quyền)"", ""Viktor Chernomyrdin"", ""Sergey Kiriyenko"", ""Yevgeny Primakov"", ""Sergei Stepashin"", ""Vladimir Putin""], ""Tiền nhiệm"": ""Vitaly Vorotnikov"", ""Kế nhiệm"": ""Ruslan Khasbulatov (Quyền)"", ""Sinh"": [""Boris Nikolayevich Yeltsin"", ""Борис Николаевич Ельцин"", ""1 tháng 2 năm 1931"", ""Butka"", "","", ""Ural Oblast"", "","", ""Cộng hoà Xã hội Chủ nghĩa Xô viết Liên bang Nga"", "","", ""Liên Xô""], ""Mất"": [""23 tháng 4, 2007"", ""(2007-04-23)"", ""(76 tuổi)"", ""Moskva"", "","", ""Nga""], ""Đảng chính trị"": [""Đảng Cộng sản Liên Xô"", ""(1961–1990)"", ""Độc lập"", ""(sau 1990)""], ""Phối ngẫu"": ""Naina Yeltsina"", ""Con cái"": [""Tatyana Borisovna Dyachenko"", ""Elena Borisovna Okulova""], ""Alma mater"": ""Đại học Công nghệ Quốc gia Ural"", ""Chữ ký"": """"}"
6,Dick Cheney,Person,https://vi.wikipedia.org/wiki/Dick_Cheney,"{""Tổng thống"": ""Gerald Ford"", ""Tiền nhiệm"": ""Donald Rumsfeld"", ""Kế nhiệm"": ""Hamilton Jordan"", ""Cấp phó"": ""Donald J. Atwood Jr."", ""Lãnh đạo"": ""Robert H. Michel"", ""Sinh"": [""30 tháng 1, 1941"", ""Lincoln, Nebraska"", "", Hoa Kỳ"", ""["", ""1"", ""]""], ""Mất"": [""3 tháng 11, 2025"", ""(2025-11-03)"", ""(84 tuổi)"", ""Northern Virginia"", "", Hoa Kỳ""], ""Đảng chính trị"": ""Cộng hòa"", ""Phối ngẫu"": ""Lynne Cheney (kết hôn 1964–nay)"", ""Con cái"": [""Liz Cheney"", ""Mary Cheney""], ""Cư trú"": [""McLean, Virginia"", ""["", ""cần dẫn nguồn"", ""]"", ""Jackson, Wyoming"", ""["", ""cần dẫn nguồn"", ""]""], ""Alma mater"": [""Đại học Yale"", ""Đại học Wyoming"", ""(BA,"", ""Master of Arts"", "")"", ""University of Wisconsin–Madison""], ""Chuyên môn"": [""Chính khách"", ""Doanh nhân""], ""Chữ ký"": """"}"
7,Dmitry Anatolyevich Medvedev,Person,https://vi.wikipedia.org/wiki/Dmitry_Anatolyevich_Medvedev,"{""Chủ tịch"": ""Vladimir Putin"", ""Tiền nhiệm"": ""Boris Gryzlov"", ""Tổng thống"": ""Vladimir Putin"", ""Kế nhiệm"": ""Vladimir Putin"", ""Thủ tướng"": ""Vladimir Putin"", ""Sinh"": [""Dmitry Anatolyevich Medvedev"", ""14 tháng 9, 1965"", ""(60 tuổi)"", ""Leningrad"", "","", ""Nga Xô viết"", "","", ""Liên Xô""], ""Đảng chính trị"": [""Đảng Cộng sản Liên Xô"", ""(Trước 1991)"", ""Đảng Nước Nga Thống nhất"", ""(2011–nay)""], ""Phối ngẫu"": ""Svetlana Linnik (1993-nay)"", ""Con cái"": ""1"", ""Alma mater"": ""Đại học Tổng hợp Saint-Petersburg"", ""Chữ ký"": """", ""Website"": ""da-medvedev.ru""}"
8,Bill Clinton,Person,https://vi.wikipedia.org/wiki/Bill_Clinton,"{""Phó Tổng thống"": ""Al Gore"", ""Tiền nhiệm"": ""Jim Guy Tucker"", ""Kế nhiệm"": ""Steve Clark"", ""Phó Thống đốc"": ""Joe Purcell"", ""Thống đốc"": ""David Pryor Joe Purcell (Quyền)"", ""Sinh"": [""William Jefferson Blythe III"", ""19 tháng 8, 1946"", ""(79 tuổi)"", ""Hope"", "","", ""Arkansas"", "","", ""Hoa Kỳ""], ""Đảng chính trị"": ""Đảng Dân chủ"", ""Phối ngẫu"": ""Hillary Rodham (cưới 1975 )"", ""Con cái"": ""Chelsea Clinton"", ""Cha mẹ"": ""William Jefferson Blythe Jr. Virginia Cassidy"", ""Giáo dục"": [""Đại học Georgetown"", ""("", ""Trường Dịch vụ Đối ngoại"", "")"", ""Đại học Oxford"", ""("", ""Trường University College"", "")"", ""Đại học Yale"", ""("", ""Trường Luật"", "")""], ""Chữ ký"": """"}"
9,Angela Merkel,Person,https://vi.wikipedia.org/wiki/Angela_Merkel,"{""Tổng thống"": [""Horst Köhler"", ""Christian Wulff"", ""Joachim Gauck"", ""Frank-Walter Steinmeier""], ""Phó Thủ tướng"": [""Franz Müntefering"", ""Frank-Walter Steinmeier"", ""Guido Westerwelle"", ""Philipp Rösler"", ""Sigmar Gabriel"", ""Olaf Scholz""], ""Tiền nhiệm"": ""Ursula Lehr"", ""Kế nhiệm"": ""Claudia Nolte"", ""Thủ tướng"": ""Helmut Kohl"", ""Sinh"": [""17 tháng 7"", ""năm"", ""1954"", ""(71 tuổi)"", ""Hamburg"", "","", ""Tây Đức""], ""Đảng chính trị"": [""Thức tỉnh Dân chủ"", ""(1989-1990)"", ""Liên minh Dân chủ Cơ đốc"", ""(1990-nay)""], ""Phối ngẫu"": [""Ulrich Merkel (1977-1982)"", ""Joachim Sauer"", ""(1998-nay)""], ""Alma mater"": ""Đại học Leipzig"", ""Tôn giáo"": ""Luther"", ""Chữ ký"": """"}"
10,Barack Obama,Person,https://vi.wikipedia.org/wiki/Barack_Obama,"{""Phó Tổng thống"": ""Joe Biden"", ""Tiền nhiệm"": ""Alice Palmer"", ""Kế nhiệm"": ""Kwame Raoul"", ""Sinh"": [""Barack Hussein Obama II"", ""4 tháng 8, 1961"", ""(64 tuổi)"", ""Honolulu, Hawaii"", "", Hoa Kỳ""], ""Đảng chính trị"": ""Dân chủ"", ""Phối ngẫu"": ""Michelle Robinson (cưới 1992 )"", ""Con cái"": ""Malia Sasha"", ""Cha mẹ"": ""Barack Obama Sr. Ann Dunham"", ""Người thân"": ""Gia đình của Barack Obama"", ""Cư trú"": ""Kalorama (Washington, D.C.)"", ""Giáo dục"": ""Trường Punahou"", ""Alma mater"": ""Đại học Columbia ( BA ) Đại học Harvard ( JD )"", ""Nghề nghiệp"": ""Chính trị gia luật sư tác giả"", ""Tặng thưởng"": ""Danh sách danh hiệu và giải thưởng"", ""Chữ ký"": """", ""Website"": ""Trang web chính thức Quỹ Obama Lưu trữ ở Nhà Trắng""}"
