src_person_id,dst_person_id,src_person,dst_person
1,15,Andrew Giuliani,Donald Trump
1,41,Andrew Giuliani,Rudy Giuliani
2,9,Christian Wulff,Angela Merkel
2,14,Christian Wulff,Horst Köhler
2,24,Christian Wulff,Joachim Gauck
2,44,Christian Wulff,Sigmar Gabriel
3,49,Beau Biden,Joe Biden
4,15,Brett Kavanaugh,Donald Trump
4,18,Brett Kavanaugh,George W. Bush
4,8,Brett Kavanaugh,Bill Clinton
5,50,Boris Nikolayevich Yeltsin,Sergei Stepashin
5,47,Boris Nikolayevich Yeltsin,Vladimir Vladimirovich Putin
5,17,Boris Nikolayevich Yeltsin,George H. W. Bush
5,8,Boris Nikolayevich Yeltsin,Bill Clinton
5,24,Boris Nikolayevich Yeltsin,Joachim Gauck
6,18,Dick Cheney,George W. Bush
6,49,Dick Cheney,Joe Biden
6,17,Dick Cheney,George H. W. Bush
6,35,Dick Cheney,John McCain
6,43,Dick Cheney,Sarah Palin
6,46,Dick Cheney,Theodore Roosevelt
6,31,Dick Cheney,Mike Pence
6,30,Dick Cheney,Kamala Harris
6,19,Dick Cheney,JD Vance
7,47,Dmitry Anatolyevich Medvedev,Vladimir Vladimirovich Putin
8,17,Bill Clinton,George H. W. Bush
8,18,Bill Clinton,George W. Bush
8,22,Bill Clinton,Hillary Clinton
8,35,Bill Clinton,John McCain
8,48,Bill Clinton,Ronald Reagan
8,51,Bill Clinton,Boris Yeltsin
8,26,Bill Clinton,John Quincy Adams
8,46,Bill Clinton,Theodore Roosevelt
8,10,Bill Clinton,Barack Obama
8,15,Bill Clinton,Donald Trump
8,49,Bill Clinton,Joe Biden
9,14,Angela Merkel,Horst Köhler
9,2,Angela Merkel,Christian Wulff
9,24,Angela Merkel,Joachim Gauck
9,13,Angela Merkel,Frank-Walter Steinmeier
9,12,Angela Merkel,Guido Westerwelle
9,38,Angela Merkel,Philipp Rösler
9,44,Angela Merkel,Sigmar Gabriel
9,39,Angela Merkel,Olaf Scholz
9,45,Angela Merkel,Wolfgang Schäuble
9,16,Angela Merkel,Helmut Kohl
9,48,Angela Merkel,Ronald Reagan
9,17,Angela Merkel,George H. W. Bush
9,8,Angela Merkel,Bill Clinton
9,18,Angela Merkel,George W. Bush
9,41,Angela Merkel,Rudy Giuliani
9,47,Angela Merkel,Vladimir Vladimirovich Putin
9,10,Angela Merkel,Barack Obama
9,33,Angela Merkel,Mark Zuckerberg
9,15,Angela Merkel,Donald Trump
9,27,Angela Merkel,Maria Ressa
9,49,Angela Merkel,Joe Biden
9,30,Angela Merkel,Kamala Harris
10,49,Barack Obama,Joe Biden
10,18,Barack Obama,George W. Bush
10,15,Barack Obama,Donald Trump
10,34,Barack Obama,Michelle Obama
10,22,Barack Obama,Hillary Clinton
10,35,Barack Obama,John McCain
10,32,Barack Obama,Mitt Romney
10,8,Barack Obama,Bill Clinton
10,36,Barack Obama,Paul Ryan
10,48,Barack Obama,Ronald Reagan
10,6,Barack Obama,Dick Cheney
10,26,Barack Obama,John Quincy Adams
10,46,Barack Obama,Theodore Roosevelt
10,17,Barack Obama,George H. W. Bush
10,27,Barack Obama,Maria Ressa
10,41,Barack Obama,Rudy Giuliani
10,47,Barack Obama,Vladimir Vladimirovich Putin
10,33,Barack Obama,Mark Zuckerberg
10,9,Barack Obama,Angela Merkel
10,30,Barack Obama,Kamala Harris
11,30,Doug Emhoff,Kamala Harris
11,49,Doug Emhoff,Joe Biden
12,9,Guido Westerwelle,Angela Merkel
12,13,Guido Westerwelle,Frank-Walter Steinmeier
12,38,Guido Westerwelle,Philipp Rösler
12,44,Guido Westerwelle,Sigmar Gabriel
12,39,Guido Westerwelle,Olaf Scholz
13,9,Frank-Walter Steinmeier,Angela Merkel
13,39,Frank-Walter Steinmeier,Olaf Scholz
13,24,Frank-Walter Steinmeier,Joachim Gauck
13,12,Frank-Walter Steinmeier,Guido Westerwelle
13,44,Frank-Walter Steinmeier,Sigmar Gabriel
13,47,Frank-Walter Steinmeier,Vladimir Vladimirovich Putin
13,14,Frank-Walter Steinmeier,Horst Köhler
13,2,Frank-Walter Steinmeier,Christian Wulff
14,9,Horst Köhler,Angela Merkel
14,2,Horst Köhler,Christian Wulff
15,19,Donald Trump,JD Vance
15,49,Donald Trump,Joe Biden
15,31,Donald Trump,Mike Pence
15,10,Donald Trump,Barack Obama
15,21,Donald Trump,Ivanka Trump
15,52,Donald Trump,Barron Trump
15,46,Donald Trump,Theodore Roosevelt
15,47,Donald Trump,Vladimir Vladimirovich Putin
15,22,Donald Trump,Hillary Clinton
15,4,Donald Trump,Brett Kavanaugh
15,48,Donald Trump,Ronald Reagan
15,32,Donald Trump,Mitt Romney
15,8,Donald Trump,Bill Clinton
15,17,Donald Trump,George H. W. Bush
15,18,Donald Trump,George W. Bush
15,36,Donald Trump,Paul Ryan
15,40,Donald Trump,Rodrigo Duterte
15,41,Donald Trump,Rudy Giuliani
15,20,Donald Trump,Hunter Biden
15,26,Donald Trump,John Quincy Adams
15,39,Donald Trump,Olaf Scholz
15,13,Donald Trump,Frank-Walter Steinmeier
15,33,Donald Trump,Mark Zuckerberg
15,9,Donald Trump,Angela Merkel
15,27,Donald Trump,Maria Ressa
15,30,Donald Trump,Kamala Harris
16,45,Helmut Kohl,Wolfgang Schäuble
16,17,Helmut Kohl,George H. W. Bush
16,48,Helmut Kohl,Ronald Reagan
16,9,Helmut Kohl,Angela Merkel
16,39,Helmut Kohl,Olaf Scholz
16,24,Helmut Kohl,Joachim Gauck
17,48,George H. W. Bush,Ronald Reagan
17,8,George H. W. Bush,Bill Clinton
17,18,George H. W. Bush,George W. Bush
17,26,George H. W. Bush,John Quincy Adams
17,15,George H. W. Bush,Donald Trump
17,46,George H. W. Bush,Theodore Roosevelt
17,10,George H. W. Bush,Barack Obama
17,49,George H. W. Bush,Joe Biden
17,6,George H. W. Bush,Dick Cheney
17,31,George H. W. Bush,Mike Pence
17,30,George H. W. Bush,Kamala Harris
17,19,George H. W. Bush,JD Vance
17,41,George H. W. Bush,Rudy Giuliani
17,47,George H. W. Bush,Vladimir Vladimirovich Putin
17,33,George H. W. Bush,Mark Zuckerberg
17,9,George H. W. Bush,Angela Merkel
17,27,George H. W. Bush,Maria Ressa
18,6,George W. Bush,Dick Cheney
18,8,George W. Bush,Bill Clinton
18,10,George W. Bush,Barack Obama
18,37,George W. Bush,Rick Perry
18,29,George W. Bush,Laura Bush
18,17,George W. Bush,George H. W. Bush
18,26,George W. Bush,John Quincy Adams
18,48,George W. Bush,Ronald Reagan
18,35,George W. Bush,John McCain
18,46,George W. Bush,Theodore Roosevelt
18,15,George W. Bush,Donald Trump
18,49,George W. Bush,Joe Biden
19,15,JD Vance,Donald Trump
19,30,JD Vance,Kamala Harris
19,49,JD Vance,Joe Biden
19,31,JD Vance,Mike Pence
19,46,JD Vance,Theodore Roosevelt
19,17,JD Vance,George H. W. Bush
19,6,JD Vance,Dick Cheney
20,10,Hunter Biden,Barack Obama
20,49,Hunter Biden,Joe Biden
20,15,Hunter Biden,Donald Trump
20,3,Hunter Biden,Beau Biden
20,28,Hunter Biden,Jill Biden
21,15,Ivanka Trump,Donald Trump
21,22,Ivanka Trump,Hillary Clinton
22,10,Hillary Clinton,Barack Obama
22,8,Hillary Clinton,Bill Clinton
22,29,Hillary Clinton,Laura Bush
22,15,Hillary Clinton,Donald Trump
22,41,Hillary Clinton,Rudy Giuliani
22,49,Hillary Clinton,Joe Biden
22,53,Hillary Clinton,Dmitry Medvedev
22,34,Hillary Clinton,Michelle Obama
22,28,Hillary Clinton,Jill Biden
22,26,Hillary Clinton,John Quincy Adams
22,30,Hillary Clinton,Kamala Harris
23,48,Jerry Brown,Ronald Reagan
23,30,Jerry Brown,Kamala Harris
23,31,Jerry Brown,Mike Pence
24,9,Joachim Gauck,Angela Merkel
24,2,Joachim Gauck,Christian Wulff
24,13,Joachim Gauck,Frank-Walter Steinmeier
25,41,Michael Bloomberg,Rudy Giuliani
27,40,Maria Ressa,Rodrigo Duterte
27,46,Maria Ressa,Theodore Roosevelt
27,10,Maria Ressa,Barack Obama
28,49,Jill Biden,Joe Biden
28,3,Jill Biden,Beau Biden
28,20,Jill Biden,Hunter Biden
28,34,Jill Biden,Michelle Obama
28,22,Jill Biden,Hillary Clinton
28,29,Jill Biden,Laura Bush
29,18,Laura Bush,George W. Bush
29,22,Laura Bush,Hillary Clinton
29,34,Laura Bush,Michelle Obama
29,28,Laura Bush,Jill Biden
30,49,Kamala Harris,Joe Biden
30,31,Kamala Harris,Mike Pence
30,54,Kamala Harris,J.D. Vance
30,23,Kamala Harris,Jerry Brown
30,11,Kamala Harris,Doug Emhoff
30,15,Kamala Harris,Donald Trump
