src_person_id,dst_person_id,src_person,dst_person,shared_count
10,797,Abdullah Gül,Moshe Sharett,1
10,848,Abdullah Gül,Numan Kurtulmuş,1
797,848,Moshe Sharett,Numan Kurtulmuş,1
10,492,Abdullah Gül,J. K. Rowling,1
10,1211,Abdullah Gül,Zara Tindall,1
492,1211,J. K. Rowling,Zara Tindall,1
11,20,Adly Mansour,Alain Juppé,1
11,217,Adly Mansour,Dominique de Villepin,1
11,267,Adly Mansour,Emmanuel Macron,1
11,291,Adly Mansour,François Hollande,1
11,474,Adly Mansour,Jacques Chirac,1
11,764,Adly Mansour,Michel Rocard,1
20,217,Alain Juppé,Dominique de Villepin,1
20,267,Alain Juppé,Emmanuel Macron,2
20,291,Alain Juppé,François Hollande,2
20,474,Alain Juppé,Jacques Chirac,1
20,764,Alain Juppé,Michel Rocard,2
217,267,Dominique de Villepin,Emmanuel Macron,1
217,291,Dominique de Villepin,François Hollande,1
217,474,Dominique de Villepin,Jacques Chirac,1
217,764,Dominique de Villepin,Michel Rocard,1
267,291,Emmanuel Macron,François Hollande,2
267,474,Emmanuel Macron,Jacques Chirac,1
267,764,Emmanuel Macron,Michel Rocard,2
291,474,François Hollande,Jacques Chirac,1
291,764,François Hollande,Michel Rocard,2
474,764,Jacques Chirac,Michel Rocard,1
11,127,Adly Mansour,Boutros Boutros-Ghali,1
11,783,Adly Mansour,Mohamed Morsi,1
11,786,Adly Mansour,Mohamed ElBaradei,1
11,801,Adly Mansour,Mostafa Madbouly,1
127,783,Boutros Boutros-Ghali,Mohamed Morsi,1
127,786,Boutros Boutros-Ghali,Mohamed ElBaradei,1
127,801,Boutros Boutros-Ghali,Mostafa Madbouly,1
786,783,Mohamed ElBaradei,Mohamed Morsi,1
783,801,Mohamed Morsi,Mostafa Madbouly,1
786,801,Mohamed ElBaradei,Mostafa Madbouly,1
12,62,Abhisit Vejjajiva,Anthony Eden,1
12,83,Abhisit Vejjajiva,"Arthur Wellesley, Công tước thứ 1 xứ Wellington",1
12,137,Abhisit Vejjajiva,Boris Johnson,1
12,308,Abhisit Vejjajiva,George Canning,1
12,312,Abhisit Vejjajiva,George Grenville,1
12,950,Abhisit Vejjajiva,Robert Bridges,1
62,83,Anthony Eden,"Arthur Wellesley, Công tước thứ 1 xứ Wellington",1
62,137,Anthony Eden,Boris Johnson,1
62,308,Anthony Eden,George Canning,1
62,312,Anthony Eden,George Grenville,1
62,950,Anthony Eden,Robert Bridges,1
83,137,"Arthur Wellesley, Công tước thứ 1 xứ Wellington",Boris Johnson,1
83,308,"Arthur Wellesley, Công tước thứ 1 xứ Wellington",George Canning,1
83,312,"Arthur Wellesley, Công tước thứ 1 xứ Wellington",George Grenville,1
83,950,"Arthur Wellesley, Công tước thứ 1 xứ Wellington",Robert Bridges,1
137,308,Boris Johnson,George Canning,1
137,312,Boris Johnson,George Grenville,1
137,950,Boris Johnson,Robert Bridges,1
308,312,George Canning,George Grenville,1
308,950,George Canning,Robert Bridges,1
312,950,George Grenville,Robert Bridges,1
13,103,Ahmad Massoud,Aung San Suu Kyi,1
13,148,Ahmad Massoud,Chaim Herzog,1
