title,infobox_json
Indiana University Robert H. McKinney School of Law,{}
Hanover College,{}
Viện Chính trị Quân sự Lenin,{}
Texas A&M University,{}
Trường Đại học Philippines,{}
Trường luật San Beda,{}
Trường Luật Đại học California tại San Francisco,{}
Trường Dịch vụ Đối ngoại,"{""Khẩu hiệu"": ""Utraque Unum (From both, one)"", ""Loại hình"": ""Đại học tư thục , Đại học giáo dục khai phóng"", ""Thành lập"": ""1919 [ 1 ]"", ""Tổ chức mẹ"": ""Viện Đại học Georgetown ."", ""Liên kết"": ""APSIA"", ""Giám đốc"": ""Joel Hellman"", ""Giảng viên"": [""134 tại"", ""Washington, D.C."", ""52 tại"", ""Doha"", "","", ""Qatar"", ""["", ""2"", ""]""], ""Sinh viên"": ""2,273 [ 1 ]"", ""Sinh viên đại học"": ""1,423 [ 1 ]"", ""Sinh viên sau đại học"": ""850 [ 1 ]"", ""Địa chỉ"": [""Washington, D.C."", "","", ""Hoa Kỳ"", ""38°54′32″B"", ""77°4′25″T"", ""﻿ / ﻿"", ""38,90889°B 77,07361°T"", ""﻿ /"", ""38.90889; -77.07361""], ""Khuôn viên"": ""Thành thị""}"
"Đại học California, Berkeley","{""Loại"": ""Công lập"", ""Khẩu hiệu"": [""Fiat lux"", ""("", ""Latinh"", "")"", ""(Hãy có ánh sáng)""], ""Thành lập"": ""23 tháng 3 năm 1868 ; 157 năm trước ( 1868-03-23 )"", ""Giảng viên"": ""1.950"", ""Khuôn viên"": ""Nội Thành , 1.232 acre (5 km²)\nTổng diện tích sở hữu: 6,679 acre (27 km²)"", ""Linh vật"": ""Oski the Bear"", ""Tài trợ"": ""4,6 tỷ đô la Mỹ (2018)"", ""Thể thao"": ""California Golden Bears"", ""Website"": ""www.berkeley.edu"", ""Hiệu trưởng danh dự"": ""Robert Birgeneau"", ""Sinh viên đại học"": ""30.853"", ""Sinh viên sau đại học"": ""11.666""}"
Đại học Công nghệ Quốc gia Ural,{}
Đại học,{}
Đại học Eureka,{}
Đại học Duke,"{""Tên cũ"": ""Brown School (1838–1841) Union Institute (1841–1851) Normal College (1851–1859) Trinity College (1859–1924)"", ""Khẩu hiệu"": ""Eruditio et Religio ( Tiếng Latinh ) [ 1 ]"", ""Loại hình"": ""Tư thục"", ""Thành lập"": ""1838"", ""Tài trợ"": ""$12.70 tỉ (2021) [ 2 ] (Trường cũng là nguồn hưởng hoa lợi chính (32%) của tổ chức độc lập Duke Endowment trị giá $3.4 tỉ) [ 3 ]"", ""Kinh phí"": ""$7.7 tỉ (trong năm tài khóa 2022) [ 4 ]"", ""Giảng viên"": ""3,522 (Thu 2016) [ 3 ]"", ""Nhân viên quản lý"": ""8,435 Nhân viên khuôn viên 37,142 Nhân viên toàn hệ thống đại học và y tế (tính tới tháng 7 năm 2015) [ 3 ]"", ""Sinh viên"": ""14,832 (Thu 2016) [ 3 ]"", ""Sinh viên đại học"": ""6,449 (Thu 2016) [ 3 ]"", ""Sinh viên sau đại học"": ""8,383 (Thu 2016) [ 3 ]"", ""Vị trí"": [""Durham"", "","", ""North Carolina"", "","", ""Mỹ"", ""36°0′4″B"", ""78°56′20″T"", ""﻿ / ﻿"", ""36,00111°B 78,93889°T"", ""﻿ /"", ""36.00111; -78.93889""], ""Khuôn viên"": ""Ngoại ô 8.691 mẫu Anh (35,2 km 2 ) [ 3 ]"", ""Màu"": [""màu xanh Duke, trắng"", ""["", ""5"", ""]"", ""["", ""6"", ""]""]}"
Đại học Delaware,"{""Khẩu hiệu"": ""Scientia Sol Mentis Est ( tiếng Latin )"", ""Khẩu hiệu trong Tiếng Anh"": ""Kiến thức là ánh sáng của tâm trí"", ""Loại hình"": ""trường đại học nghiên cứu tư thục - công lập"", ""Thành lập"": ""1833 ; 192 năm trước ( 1833 ) (antecedent school founded 1743 and chartered 1769)"", ""Liên kết học tập"": [""Sea-grant"", ""Space-grant""], ""Tài trợ"": ""$1.466 billion (2019) [ 1 ]"", ""Viện trưởng"": ""Dennis Assanis"", ""Giảng viên"": ""1.172 (2012) [ 2 ]"", ""Nhân viên quản lý"": ""4.004"", ""Sinh viên"": ""24.120 (mùa Thu 2018) [ 3 ]"", ""Sinh viên đại học"": ""18.221 (mùa Thu 2018) [ 3 ]"", ""Sinh viên sau đại học"": ""4.164 (mùa Thu 2018) [ 3 ]"", ""Sinh viên khác"": ""1.735 (mùa Thu 2018) [ 3 ]"", ""Vị trí"": ""Newark , Delaware , Hoa Kỳ"", ""Khuôn viên"": ""Ngoại ô 2.012 mẫu Anh (8,14 km 2 ) [ 4 ]"", ""Màu"": [""Xanh biển vàng kim"", ""["", ""5"", ""]""], ""Biệt danh"": ""Fightin' Blue Hens"", ""Liên kết thể thao"": ""NCAA Division I FCS – CAA"", ""Linh vật"": ""YoUDee"", ""Website"": ""www .udel .edu""}"
Học viện Hải quân Hoa Kỳ,"{""Loại"": ""Học viện quân sự liên bang"", ""Khẩu hiệu"": ""Ex Scientia Tridens ( From Knowledge, Seapower )"", ""Thành lập"": ""10 tháng 10 năm 1845"", ""Hiệu trưởng"": ""Rodney P. Rempt"", ""Khuôn viên"": ""Căn cứ Hải quân , 338 mẫu Anh"", ""Màu"": ""Xanh █ Vàng █"", ""Linh vật"": ""Bill the Goat"", ""Athletics"": ""Extensive varsity and intramural program"", ""Website"": ""www.usna.edu"", ""Sinh viên đại học"": ""4.400""}"
